Time,Fz
0.888,781.022523
0.89,781.425203
0.892,780.620393
0.894,780.620393
0.896,779.012273
0.898,778.610143
0.9,778.207463
0.902,777.001683
0.904,777.402653
0.906,776.599003
0.908,775.796243
0.91,774.590803
0.912,774.186623
0.914,773.783943
0.916,773.382973
0.918,772.977083
0.92,772.578163
0.922,772.578163
0.924,771.772803
0.926,771.772803
0.928,770.967653
0.93,770.565313
0.932,769.763373
0.934,769.359533
0.936,767.753123
0.938,768.555883
0.94,767.348943
0.942,766.543793
0.944,765.740483
0.946,765.339513
0.948,764.936833
0.95,764.134072
0.952,763.731052
0.954,763.729342
0.956,762.926242
0.958,762.926242
0.96,762.122932
0.962,761.720802
0.964,761.318122
0.966,759.711712
0.968,759.309032
0.97,759.307872
0.972,759.708502
0.974,759.307872
0.976,758.102092
0.978,758.102092
0.98,758.100382
0.982,756.896652
0.984,756.492472
0.986,756.091842
0.988,755.288532
0.99,755.287032
0.992,754.485432
0.994,753.678572
0.996,752.875812
0.998,752.073052
1,751.269192
1.002,750.464042
1.004,750.464042
1.006,750.061912
1.008,749.661282
1.01,748.857632
1.012,747.652742
1.014,748.454342
1.016,748.053372
1.018,746.445252
1.02,746.847932
1.022,747.248902
1.024,746.445802
1.026,746.444092
1.028,744.837682
1.03,744.433842
1.032,743.630742
1.034,743.631082
1.036,742.024672
1.038,742.024672
1.04,741.622542
1.042,742.022962
1.044,741.219862
1.046,740.819232
1.048,740.817182
1.05,741.621992
1.052,741.218152
1.054,741.219862
1.056,741.619942
1.058,741.619942
1.06,741.619942
1.062,742.423592
1.064,742.020912
1.066,741.620832
1.068,741.218152
1.07,741.218152
1.072,741.619332
1.074,740.816572
1.076,740.818622
1.078,740.013262
1.08,739.210712
1.082,739.211052
1.084,738.808922
1.086,738.406242
1.088,738.406792
1.09,738.004662
1.092,738.004662
1.094,737.602532
1.096,736.799772
1.098,736.399692
1.1,736.800322
1.102,735.595432
1.104,735.595982
1.106,736.399632
1.108,735.596872
1.11,735.597422
1.112,735.597972
1.114,736.401622
1.116,735.196732
1.118,736.000382
1.12,735.598252
1.122,735.998882
1.124,735.598802
1.126,734.793992
1.128,733.991232
1.13,733.589652
1.132,732.785732
1.134,731.580842
1.136,730.778082
1.138,730.375952
1.14,729.173112
1.142,728.770982
1.144,728.771532
1.146,727.967062
1.148,727.564932
1.15,727.162252
1.152,726.761282
1.154,726.358812
1.156,725.956472
1.158,725.958182
1.16,725.554002
1.162,724.349722
1.164,724.751242
1.166,723.947592
1.168,723.544912
1.17,723.947592
1.172,723.946092
1.174,724.750352
1.176,725.151532
1.178,724.750352
1.18,725.150982
1.182,725.553662
1.184,724.748852
1.186,725.553662
1.188,725.954292
1.19,726.759102
1.192,727.562412
1.194,729.169162
1.196,730.375152
1.198,731.179962
1.2,732.382192
1.202,732.784872
1.204,733.988602
1.206,733.990312
1.208,734.392992
1.21,735.194592
1.212,735.195142
1.214,734.794172
1.216,734.392042
1.218,734.793012
1.22,735.998452
1.222,737.604522
1.224,737.203552
1.226,738.407832
1.228,738.405782
1.23,738.407492
1.232,738.405992
1.234,739.208752
1.236,738.808672
1.238,739.211352
1.24,739.611982
1.242,740.012612
1.244,740.011452
1.246,740.013162
1.248,740.814762
1.25,741.219492
1.252,741.216832
1.254,741.618962
1.256,742.020142
1.258,742.020692
1.26,741.217592
1.262,741.618772
1.264,741.617612
1.266,741.216982
1.268,741.617612
1.27,741.621372
1.272,742.022002
1.274,743.628072
1.276,743.227442
1.278,743.626362
1.28,744.028702
1.282,743.626572
1.284,744.027202
1.286,744.028912
