Time,Fz,Mx,My,CoPx,CoPy
0.000000,1046.172534,-29.835951,-66.688943,0.063746,-0.028519
0.001000,1046.172194,-30.179021,-66.689053,0.063746,-0.028847
0.002000,1046.976184,-29.491611,-66.690143,0.063698,-0.028168
0.003000,1046.173084,-29.490771,-66.689333,0.063746,-0.028189
0.004000,1046.575214,-29.663031,-66.801333,0.063829,-0.028343
0.005000,1046.173084,-29.490771,-66.689333,0.063746,-0.028189
0.006000,1046.976394,-29.489501,-66.690643,0.063698,-0.028166
0.007000,1046.977894,-29.490111,-66.913723,0.063911,-0.028167
0.008000,1047.782704,-29.489451,-67.138113,0.064076,-0.028145
0.009000,1046.979604,-29.488611,-67.137303,0.064125,-0.028165
0.010000,1045.774164,-29.317621,-67.023993,0.064090,-0.028034
0.011000,1044.969354,-29.318281,-66.799603,0.063925,-0.028057
0.012000,1042.962524,-29.144951,-66.909063,0.064153,-0.027944
0.013000,1041.757084,-28.973961,-66.795753,0.064118,-0.027813
0.014000,1040.551644,-28.802971,-66.682443,0.064084,-0.027680
0.015000,1041.356114,-29.145381,-66.906943,0.064250,-0.027988
0.016000,1040.953434,-29.318301,-66.794553,0.064167,-0.028165
0.017000,1041.356114,-29.145381,-66.906943,0.064250,-0.027988
0.018000,1042.160924,-29.144721,-67.131333,0.064416,-0.027966
0.019000,1042.161264,-28.801651,-67.131223,0.064415,-0.027636
0.020000,1042.161264,-28.801651,-67.131223,0.064415,-0.027636
0.021000,1042.563394,-28.973911,-67.243223,0.064498,-0.027791
0.022000,1043.768834,-29.144901,-67.356533,0.064532,-0.027923
0.023000,1043.768494,-29.487971,-67.356643,0.064532,-0.028251
0.024000,1044.573644,-29.144241,-67.580923,0.064697,-0.027901
0.025000,1044.975774,-29.316501,-67.692923,0.064779,-0.028055
0.026000,1045.779084,-29.315231,-67.694233,0.064731,-0.028032
0.027000,1044.574804,-29.487921,-67.804113,0.064911,-0.028230
0.028000,1044.574804,-29.487921,-67.804113,0.064911,-0.028230
0.029000,1043.369364,-29.316931,-67.690803,0.064877,-0.028098
0.030000,1043.771494,-29.489191,-67.802803,0.064959,-0.028253
0.031000,1043.772044,-29.144011,-67.803193,0.064960,-0.027922
0.032000,1043.772044,-29.144011,-67.803193,0.064960,-0.027922
0.033000,1043.772044,-29.144011,-67.803193,0.064960,-0.027922
0.034000,1045.379954,-29.144191,-68.028393,0.065075,-0.027879
0.035000,1045.379954,-29.144191,-68.028393,0.065075,-0.027879
0.036000,1045.782084,-29.316451,-68.140393,0.065157,-0.028033
0.037000,1046.184764,-29.143531,-68.252783,0.065240,-0.027857
0.038000,1046.585734,-28.972111,-68.141593,0.065108,-0.027683
0.039000,1048.192144,-28.971681,-68.143713,0.065011,-0.027640
0.040000,1048.194194,-28.627111,-68.367183,0.065224,-0.027311
0.041000,1049.800604,-28.626681,-68.369303,0.065126,-0.027269
0.042000,1050.201574,-28.455261,-68.258113,0.064995,-0.027095
0.043000,1050.604254,-28.282341,-68.370503,0.065077,-0.026920
0.044000,1050.604254,-28.282341,-68.370503,0.065077,-0.026920
0.045000,1050.604254,-28.282341,-68.370503,0.065077,-0.026920
0.046000,1049.801494,-27.938431,-68.369583,0.065126,-0.026613
0.047000,1049.398814,-28.111351,-68.257193,0.065044,-0.026788
0.048000,1049.400864,-27.766781,-68.480663,0.065257,-0.026460
0.049000,1050.203964,-27.767621,-68.481473,0.065208,-0.026440
0.050000,1051.810374,-27.767191,-68.483593,0.065110,-0.026399
0.051000,1053.016155,-27.595111,-68.596793,0.065143,-0.026206
0.052000,1053.418835,-27.422191,-68.709183,0.065225,-0.026032
0.053000,1053.418835,-27.422191,-68.709183,0.065225,-0.026032
0.054000,1055.026745,-27.422371,-68.934383,0.065339,-0.025992
0.055000,1055.429425,-27.249451,-69.046773,0.065421,-0.025818
0.056000,1056.635205,-27.077371,-69.159973,0.065453,-0.025626
0.057000,1057.440015,-27.076711,-69.384363,0.065615,-0.025606
0.058000,1058.644635,-26.560951,-69.274373,0.065437,-0.025090
0.059000,1059.850415,-26.388871,-69.387573,0.065469,-0.024899
0.060000,1059.449785,-26.217221,-69.498653,0.065599,-0.024746
0.061000,1059.850415,-26.388871,-69.387573,0.065469,-0.024899
0.062000,1058.644975,-26.217881,-69.274263,0.065437,-0.024766
0.063000,1059.045945,-26.046461,-69.163073,0.065307,-0.024594
0.064000,1058.644975,-26.217881,-69.274263,0.065437,-0.024766
0.065000,1059.047995,-25.701891,-69.386543,0.065518,-0.024269
0.066000,1058.647365,-25.530241,-69.497623,0.065648,-0.024116
0.067000,1059.853145,-25.358161,-69.610823,0.065680,-0.023926
0.068000,1060.253775,-25.529811,-69.499743,0.065550,-0.024079
0.069000,1060.656795,-25.013821,-69.612023,0.065631,-0.023583
0.070000,1060.256165,-24.842171,-69.723103,0.065761,-0.023430
0.071000,1061.059265,-24.843011,-69.723913,0.065712,-0.023413
0.072000,1061.862915,-24.498671,-69.725113,0.065663,-0.023071
0.073000,1061.864625,-24.497171,-69.948693,0.065873,-0.023070
0.074000,1063.470825,-24.498851,-69.950313,0.065775,-0.023037
0.075000,1064.274475,-24.154511,-69.951513,0.065727,-0.022696
0.076000,1063.469665,-24.155171,-69.727123,0.065566,-0.022714
0.077000,1062.267435,-23.983291,-70.060473,0.065954,-0.022577
0.078000,1062.267435,-23.983291,-70.060473,0.065954,-0.022577
0.079000,1061.464675,-23.639381,-70.059553,0.066003,-0.022271
0.080000,1061.062545,-23.467121,-69.947553,0.065922,-0.022117
0.081000,1060.659865,-23.640041,-69.835163,0.065841,-0.022288
0.082000,1060.659865,-23.640041,-69.835163,0.065841,-0.022288
0.083000,1061.061995,-23.812301,-69.947163,0.065922,-0.022442
0.084000,1062.267775,-23.640221,-70.060363,0.065954,-0.022254
0.085000,1063.473555,-23.468141,-70.173563,0.065985,-0.022067
0.086000,1063.875685,-23.640401,-70.285563,0.066066,-0.022221
0.087000,1064.678785,-23.641241,-70.286373,0.066017,-0.022205
0.088000,1065.081465,-23.468321,-70.398763,0.066097,-0.022034
0.089000,1066.287245,-23.296241,-70.511963,0.066128,-0.021848
0.090000,1066.689375,-23.468501,-70.623963,0.066209,-0.022001
0.091000,1069.100595,-23.467411,-70.850473,0.066271,-0.021951
0.092000,1068.697915,-23.640331,-70.738083,0.066191,-0.022121
0.093000,1069.500675,-23.984241,-70.739003,0.066142,-0.022426
0.094000,1069.098545,-23.811981,-70.627003,0.066062,-0.022273
