Time,Fz
0.000000,806.348493
0.001000,807.151803
0.002000,807.153303
0.003000,806.349993
0.004000,807.554273
0.005000,807.153643
0.006000,807.956403
0.007000,807.956403
0.008000,808.357033
0.009000,808.357583
0.010000,807.555983
0.011000,807.956063
0.012000,808.355533
0.013000,807.954903
0.014000,807.956613
0.015000,808.357583
0.016000,808.357033
0.017000,807.956613
0.018000,808.358743
0.019000,807.956613
0.020000,807.956613
0.021000,807.956613
0.022000,807.553933
0.023000,808.357583
0.024000,808.357583
0.025000,808.357583
0.026000,808.359293
0.027000,808.357583
0.028000,808.759923
0.029000,808.359293
0.030000,807.956613
0.031000,808.358133
0.032000,808.358133
0.033000,808.357583
0.034000,808.758763
0.035000,807.955113
0.036000,808.357793
0.037000,808.759923
0.038000,808.760263
0.039000,808.760263
0.040000,808.760263
0.041000,808.760263
0.042000,809.160893
0.043000,809.160893
0.044000,809.160893
0.045000,809.160893
0.046000,809.563573
0.047000,809.160893
0.048000,808.759923
0.049000,808.759923
0.050000,808.759923
0.051000,809.160893
0.052000,809.563573
0.053000,809.162603
0.054000,809.160893
0.055000,809.563023
0.056000,809.563573
0.057000,809.965703
0.058000,809.563023
0.059000,809.965703
0.060000,809.564733
0.061000,809.564733
0.062000,809.563573
0.063000,809.564733
0.064000,809.564733
0.065000,809.563023
0.066000,809.563023
0.067000,810.366673
0.068000,809.965703
0.069000,809.965703
0.070000,810.364623
0.071000,809.965703
0.072000,809.563023
0.073000,809.965703
0.074000,809.965703
0.075000,809.965703
0.076000,810.770513
0.077000,811.171143
0.078000,810.366333
0.079000,809.965703
0.080000,809.965703
0.081000,810.366333
0.082000,810.366333
0.083000,809.965703
0.084000,809.564733
0.085000,809.965363
0.086000,810.366333
0.087000,809.564733
0.088000,809.563023
0.089000,809.965703
0.090000,809.564733
0.091000,809.965703
0.092000,810.367833
0.093000,810.367833
0.094000,810.770513
0.095000,810.367833
0.096000,810.768803
0.097000,810.366673
0.098000,810.366333
0.099000,809.965703
0.100000,810.366673
0.101000,809.563023
0.102000,810.366333
0.103000,809.965703
0.104000,809.965703
0.105000,809.563023
0.106000,810.367833
0.107000,810.366673
0.108000,810.366333
0.109000,809.963653
0.110000,809.563023
0.111000,809.965703
0.112000,809.564733
0.113000,809.965363
0.114000,810.367833
0.115000,809.963993
0.116000,810.366333
0.117000,810.366333
0.118000,809.965703
0.119000,809.563023
0.120000,810.366333
0.121000,809.965363
0.122000,809.162603
0.123000,809.965703
0.124000,809.963653
0.125000,810.768463
0.126000,810.768463
0.127000,809.966863
0.128000,810.367833
0.129000,809.564733
0.130000,809.965703
0.131000,809.563023
0.132000,809.562683
0.133000,809.965363
0.134000,809.563023
0.135000,809.965703
0.136000,810.366333
0.137000,810.364623
0.138000,809.564733
0.139000,809.564733
0.140000,809.963653
0.141000,810.366333
0.142000,810.366333
0.143000,809.963653
0.144000,810.367493
0.145000,810.768463
0.146000,810.365783
0.147000,810.366333
0.148000,809.965363
0.149000,809.562683
0.150000,809.965363
